City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lepsy,46.235,78.9456,53.63600000000007,64,70,3.09,KZ,1730031729
1,vadso,70.0744,29.7487,41.162000000000056,75,40,8.75,NO,1730031730
2,blackmans bay,-43.0167,147.3167,53.72600000000009,64,95,1.34,AU,1730031731
3,adamstown,-25.066,-130.1015,69.74600000000005,88,100,7.41,PN,1730031732
4,grytviken,-54.2811,-36.5092,28.52600000000009,64,11,1.57,GS,1730031733
5,rayon,19.1444,-99.5836,46.274000000000015,94,14,2.59,MX,1730031734
6,praia da vitoria,38.7333,-27.0667,66.45200000000008,72,100,2.24,PT,1730031736
7,nogliki,51.8333,143.1667,29.03000000000004,69,0,2.33,RU,1730031737
8,margate,51.3813,1.3862,54.878000000000064,80,0,0.45,GB,1730031738
9,edinburgh of the seven seas,-37.0676,-12.3116,60.63800000000005,90,99,13.89,SH,1730031739
10,gorontalo,0.5412,123.0595,77.72000000000006,85,57,0.78,ID,1730031740
11,port-aux-francais,-49.35,70.2167,34.39400000000008,63,99,12.77,TF,1730031741
12,punta del este,-34.9667,-54.95,64.50800000000001,71,0,3.09,UY,1730031743
13,chonchi,-42.6128,-73.8092,50.12600000000009,67,100,1.78,CL,1730031744
14,invercargill,-46.4,168.35,45.01400000000003,94,100,0.45,NZ,1730031745
15,quelimane,-17.8786,36.8883,91.34600000000005,62,20,7.72,MZ,1730031746
16,wuhai,39.6647,106.8122,53.27600000000009,38,30,1.89,CN,1730031747
17,bredasdorp,-34.5322,20.0403,59.9,77,56,10.7,ZA,1730031748
18,kasongo-lunda,-6.4667,16.8167,91.616,44,96,1.38,CD,1730031749
19,west island,-12.1568,96.8225,80.58200000000002,78,100,4.63,CC,1730031750
20,moyynkum,44.2914,72.9469,58.24400000000007,56,100,2.22,KZ,1730031753
21,lecheng,25.1238,113.3254,61.73600000000007,88,99,3.37,CN,1730031754
22,murzuq,25.9155,13.9184,81.44600000000005,15,16,5.37,LY,1730031755
23,fortuna,40.5982,-124.1573,60.35,97,75,3.09,US,1730031756
24,avarua,-21.2078,-159.775,71.65400000000005,73,75,3.6,CK,1730031757
25,iqaluit,63.7506,-68.5145,19.13000000000004,79,75,6.71,CA,1730031758
26,waitangi,-43.9535,-176.5597,56.82200000000004,98,100,1.79,NZ,1730031759
27,college,64.8569,-147.8028,10.382000000000016,78,100,1.54,US,1730031761
28,ilulissat,69.2167,-51.1,12.218000000000083,48,0,6.69,GL,1730031762
29,shingu,33.7333,135.9833,68.03600000000007,93,57,1.44,JP,1730031763
30,tessaoua,13.7574,7.9874,92.10200000000007,11,76,5.33,NE,1730031764
31,constantia,44.1833,28.65,65.08399999999999,62,0,4.94,RO,1730031765
32,shahrak,34.1074,64.3052,60.908,25,88,4.67,AF,1730031766
33,olonkinbyen,70.9221,-8.7187,24.08000000000004,84,100,14.29,SJ,1730031767
34,papatowai,-46.5619,169.4708,44.24000000000002,92,100,2.14,NZ,1730031768
35,stanley,54.868,-1.6985,51.81800000000008,69,20,3.09,GB,1730031769
36,puerto ayora,-0.7393,-90.3518,66.542,100,94,1.79,EC,1730031770
37,pankrushikha,53.8319,80.3406,42.76400000000003,75,100,7.28,RU,1730031771
38,bochum,51.4833,7.2167,59.95400000000005,86,100,1.31,DE,1730031773
39,hermanus,-34.4187,19.2345,59.81000000000008,85,50,8.45,ZA,1730031774
40,miranda,3.2499,-76.2281,70.28600000000007,82,92,0.17,CO,1730031775
41,hohhot,40.8106,111.6522,43.08800000000005,70,0,2.0,CN,1730031776
42,hawaiian paradise park,19.5933,-154.9731,71.88800000000005,99,100,0.0,US,1730031778
43,jamestown,42.097,-79.2353,29.84000000000002,99,0,1.54,US,1730031480
44,lihue,21.9789,-159.3672,76.58600000000007,78,20,5.14,US,1730031780
45,anadyr,64.75,177.4833,30.70400000000005,92,75,13.0,RU,1730031781
46,kamaishi,39.2667,141.8833,60.92600000000009,92,100,3.18,JP,1730031782
47,port mathurin,-19.6833,63.4167,75.41600000000001,82,11,6.41,MU,1730031784
48,sitka,57.0531,-135.33,42.69199999999999,81,20,0.0,US,1730031785
49,marang,5.2056,103.2059,80.51000000000008,94,97,2.92,MY,1730031786
50,longyearbyen,78.2186,15.6401,33.63800000000005,69,75,13.89,SJ,1730031626
51,kabalo,-6.05,26.9167,79.95200000000008,77,99,3.29,CD,1730031788
52,guatrache,-37.6678,-63.5302,61.66400000000003,43,74,6.89,AR,1730031789
53,ushuaia,-54.8,-68.3,44.258,76,75,10.8,AR,1730031790
54,hotan,37.0997,79.9269,61.142,19,53,1.7,CN,1730031791
55,hithadhoo,-0.6,73.0833,82.16600000000001,75,96,2.81,MV,1730031792
56,fale old settlement,-9.3852,-171.2468,82.92200000000004,73,78,5.24,TK,1730031794
57,tiksi,71.6872,128.8694,6.350000000000001,94,100,2.41,RU,1730031795
58,touros,-5.1989,-35.4608,85.71200000000006,57,36,5.88,BR,1730031796
59,panaba,21.2833,-88.2667,74.984,90,100,2.57,MX,1730031798
60,ribeira grande,38.5167,-28.7,69.78200000000001,64,20,3.6,PT,1730031799
61,isangel,-19.55,169.2667,74.94800000000002,86,97,5.13,VU,1730031800
62,susuman,62.7833,148.1667,0.1580000000000545,98,100,1.23,RU,1730031801
63,coquimbo,-29.9533,-71.3436,55.13000000000004,100,100,3.09,CL,1730031802
64,san benedetto po,45.0382,10.9314,69.06200000000005,83,97,1.46,IT,1730031803
65,bethel,41.3712,-73.414,41.108,70,46,0.45,US,1730031805
66,gadzhiyevo,69.2551,33.3362,40.31600000000001,65,81,10.78,RU,1730031806
67,sumenep,-7.0167,113.8667,83.21000000000008,67,89,3.88,ID,1730031807
68,tondon,10.3667,-13.35,82.74199999999999,76,91,1.2,GN,1730031808
69,qaqortoq,60.7167,-46.0333,31.60400000000005,66,100,1.68,GL,1730031809
70,los chavez,34.727,-106.7384,59.108,48,46,2.2,US,1730031810
71,albany,42.6001,-73.9662,34.80800000000001,77,8,0.45,US,1730031750
72,tual,-5.6667,132.75,82.85,77,49,5.58,ID,1730031812
73,quatre cocos,-20.2078,57.7625,80.09600000000005,77,52,3.5,MU,1730031813
74,saryozek,44.3583,77.9753,51.58399999999999,61,69,2.7,KZ,1730031814
75,flin flon,54.7682,-101.865,33.63800000000005,51,75,5.14,CA,1730031815
76,howard springs,-12.497,131.047,87.71000000000008,75,59,2.49,AU,1730031817
77,aasiaat,68.7098,-52.8699,6.133999999999993,75,17,7.67,GL,1730031818
78,shakhun'ya,57.6758,46.6114,42.15200000000008,79,91,3.23,RU,1730031820
79,atafu village,-8.5421,-172.5159,82.77800000000006,72,91,5.71,TK,1730031821
80,i-n-salah,27.1935,2.4607,87.35,20,83,3.18,DZ,1730031822
81,margaret river,-33.95,115.0667,56.33600000000007,77,0,5.13,AU,1730031823
82,ogoja,6.6547,8.7976,89.45600000000003,59,85,1.57,NG,1730031824
83,san patricio,28.017,-97.5169,66.14600000000004,94,0,0.98,US,1730031826
84,tabas,33.5959,56.9244,73.61600000000001,35,20,2.06,IR,1730031827
85,yemetsk,63.4721,41.7941,38.354000000000056,90,12,1.25,RU,1730031828
86,saipan,15.1355,145.701,83.10200000000007,89,75,3.6,MP,1730031829
87,walvis bay,-22.9575,14.5053,65.066,58,59,10.41,,1730031830
88,eastham,41.8301,-69.9739,48.21800000000009,52,0,5.81,US,1730031831
89,island harbour,50.724,-1.2758,59.07200000000004,84,39,0.45,GB,1730031832
90,yellowknife,62.456,-114.3525,29.408000000000005,92,100,7.2,CA,1730031833
91,pisco,-13.7,-76.2167,62.65400000000005,77,100,2.06,PE,1730031834
92,insuratei,44.9167,27.6,67.19000000000003,31,7,4.32,RO,1730031836
93,badger,64.8,-147.5333,12.452000000000076,83,100,1.54,US,1730031837
94,howrah,22.5892,88.3103,86.0,70,20,1.54,IN,1730031838
95,ad dabbah,18.05,30.95,92.66000000000008,7,3,5.55,SD,1730031839
96,remire-montjoly,4.9167,-52.2667,86.03600000000007,70,40,3.6,GF,1730031840
97,ust'-ilimsk,58.0006,102.6619,33.530000000000044,99,100,1.86,RU,1730031841
98,hafar al-batin,28.4328,45.9708,73.97600000000008,64,0,3.6,SA,1730031842
99,mount gambier,-37.8333,140.7667,51.8,82,98,2.8,AU,1730031843
100,yongbyon,39.8133,125.8042,49.55,72,100,2.7,KP,1730031845
101,talnakh,69.4865,88.3972,3.091999999999995,97,100,3.98,RU,1730031846
102,labytnangi,66.6572,66.4183,23.648000000000025,89,74,3.27,RU,1730031847
103,tara,56.8944,74.371,40.19000000000002,80,100,0.75,RU,1730031848
104,leninskoye,41.7589,69.3864,53.06000000000008,68,100,3.07,KZ,1730031849
105,axim,4.8699,-2.2405,82.58000000000004,76,51,3.41,GH,1730031850
106,malvan,16.0667,73.4667,82.13000000000004,78,14,4.39,IN,1730031851
107,ivybridge,50.3904,-3.9191,61.25,70,57,1.93,GB,1730031852
108,oriximina,-1.7656,-55.8661,88.17800000000007,46,100,3.22,BR,1730031853
109,tromso,69.6496,18.957,44.61800000000009,76,75,11.32,NO,1730031854
110,ust-nera,64.5667,143.2,3.164000000000033,99,100,2.14,RU,1730031855
111,riyadh,24.6877,46.7219,83.04800000000003,30,68,1.1,SA,1730031560
112,fort bragg,35.139,-79.006,56.82200000000004,78,100,5.14,US,1730031858
113,mozarlandia,-14.7447,-50.5706,78.8,77,100,2.06,BR,1730031859
114,fort mcmurray,56.7268,-111.381,35.18600000000007,69,100,5.66,CA,1730031860
115,minas de marcona,-15.2119,-75.1103,55.88600000000007,81,92,4.66,PE,1730031861
116,vorgashor,67.5833,63.95,31.82000000000006,95,100,4.94,RU,1730031862
117,weiser,44.251,-116.9693,33.998000000000026,44,73,1.34,US,1730031863
118,vila franca do campo,37.7167,-25.4333,68.41400000000003,99,96,3.18,PT,1730031864
119,puerto baquerizo moreno,-0.9,-89.6,68.14400000000008,78,79,5.75,EC,1730031865
120,weno,7.4515,151.8468,82.34600000000005,83,100,1.54,FM,1730031866
121,oeiras,-7.0253,-42.1311,90.734,33,17,2.4,BR,1730031868
122,maitum,6.0392,124.4986,81.48200000000001,78,100,4.09,PH,1730031869
123,levanger,63.7464,11.2996,45.82400000000001,79,100,2.0,NO,1730031870
124,wailua homesteads,22.0669,-159.378,75.99199999999999,92,20,5.14,US,1730031871
125,hadibu,12.65,54.0333,83.066,72,75,3.75,YE,1730031872
126,ta`u,-14.2336,-169.5144,80.02400000000002,84,28,5.65,AS,1730031873
127,port moresby,-9.4431,147.1797,77.86400000000003,91,95,1.72,PG,1730031874
128,puerto leguizamo,-0.1934,-74.7819,74.49800000000002,97,97,0.56,CO,1730031875
129,dudinka,69.4058,86.1778,5.432000000000016,95,100,5.57,RU,1730031877
130,dunedin,-45.8742,170.5036,44.79800000000002,97,100,1.79,NZ,1730031878
131,togur,58.3631,82.8265,38.94800000000002,95,100,2.61,RU,1730031879
132,egilsstadir,65.2653,-14.3948,31.91000000000008,64,75,5.14,IS,1730031880
133,poronaysk,49.2167,143.1167,36.75200000000008,58,100,2.1,RU,1730031881
134,bokoro,12.3807,17.0568,97.484,13,68,3.92,TD,1730031882
135,pecos,31.4229,-103.4932,59.86400000000003,66,0,0.0,US,1730031883
136,ketchikan,55.3422,-131.6461,46.38200000000002,76,100,2.57,US,1730031884
137,kaa-khem,51.6833,94.7333,43.142,72,100,0.65,RU,1730031885
138,urengoy,65.9667,78.3667,16.808000000000003,96,99,3.28,RU,1730031886
139,georgetown,5.4112,100.3354,84.12800000000007,78,20,1.03,MY,1730031658
140,port alfred,-33.5906,26.891,66.18200000000002,73,83,3.13,ZA,1730031889
141,puerto madero,14.7208,-92.4215,75.39800000000002,94,20,0.0,MX,1730031890
142,posse,-14.0931,-46.3694,78.60200000000007,66,99,1.75,BR,1730031891
143,port saint john's,-31.6229,29.5448,78.24199999999999,73,100,3.34,ZA,1730031892
144,daru,-9.0763,143.2092,80.97800000000007,87,71,5.89,PG,1730031893
145,bilibino,68.0546,166.4372,10.148000000000025,91,100,1.94,RU,1730031894
146,puerto natales,-51.7236,-72.4875,45.05,76,75,12.86,CL,1730031895
147,isafjordur,66.0755,-23.124,32.03600000000007,59,20,6.69,IS,1730031896
148,flying fish cove,-10.4217,105.6791,76.67600000000009,88,75,3.6,CX,1730031897
149,coahuayana de hidalgo,18.7,-103.6583,73.72400000000002,69,0,1.95,MX,1730031898
150,naze,28.3667,129.4833,76.11800000000008,82,21,2.34,JP,1730031899
151,hamilton,39.1834,-84.5333,41.774000000000015,79,0,0.45,US,1730031901
152,vilyuchinsk,52.9306,158.4028,32.27000000000006,76,12,5.61,RU,1730031902
153,yuzhno-kurilsk,44.0306,145.8556,53.72600000000009,90,100,7.24,RU,1730031903
154,mount isa,-20.7333,139.5,91.166,11,69,5.66,AU,1730031904
155,selfoss,63.9331,-20.9971,31.04600000000005,69,19,3.61,IS,1730031905
156,hammerfest,70.6634,23.6821,41.45,70,0,5.66,NO,1730031906
157,quiindy,-25.9667,-57.2667,68.54000000000002,46,49,4.34,PY,1730031907
158,agat village,13.3886,144.6585,82.36400000000003,90,20,2.57,GU,1730031908
159,acapulco de juarez,16.8634,-99.8901,80.42000000000006,89,0,2.57,MX,1730031909
160,saldanha,-33.0117,17.9442,62.65400000000005,76,56,10.98,ZA,1730031910
161,beinamar,8.6698,15.3813,89.88800000000005,26,84,1.92,TD,1730031911
162,bahia honda,22.9036,-83.1592,74.62400000000001,87,100,3.55,CU,1730031913
163,amurrio,43.05,-3.0,56.94800000000002,88,99,0.68,ES,1730031914
164,glace bay,46.1969,-59.957,43.97000000000006,81,40,5.36,CA,1730031915
165,encruzilhada do sul,-30.5439,-52.5219,62.06000000000008,50,0,1.56,BR,1730031916
166,lagoa,39.05,-27.9833,64.56200000000005,66,100,3.17,PT,1730031917
167,colonia,50.9333,6.95,61.97000000000006,86,100,1.54,DE,1730031918
168,nizhnesortymskiy,62.4397,71.7603,34.628000000000064,81,100,1.61,RU,1730031919
169,isola di capo rizzuto,38.96,17.0933,72.33800000000005,60,20,3.6,IT,1730031920
170,gardez,33.5974,69.2259,63.68000000000004,25,94,2.95,AF,1730031921
171,utrik,11.2278,169.8474,82.90400000000005,81,99,3.9,MH,1730031922
172,kone,-21.0595,164.8658,72.80600000000003,80,78,1.23,NC,1730031923
173,nabire,-3.3667,135.4833,78.53000000000004,88,100,0.29,ID,1730031925
174,revda,56.801,59.9303,35.708000000000006,78,100,1.17,RU,1730031926
175,kununurra,-15.7667,128.7333,87.78200000000001,58,53,4.63,AU,1730031927
176,port elizabeth,-33.918,25.5701,68.30600000000003,68,20,8.23,ZA,1730031928
177,tamandare,-8.7597,-35.1047,83.08399999999999,65,100,3.8,BR,1730031929
178,xianning,29.8833,114.2167,65.33600000000007,63,100,1.52,CN,1730031930
179,udachny,66.4167,112.4,6.368000000000087,97,98,2.37,RU,1730031931
180,mar del plata,-38.0023,-57.5575,64.5260000000001,58,0,7.72,AR,1730031932
181,sampit,-2.5333,112.95,80.29400000000007,75,66,2.17,ID,1730031933
182,muntok,-2.0667,105.1833,85.38800000000005,69,14,3.06,ID,1730031934
183,carnarvon,-24.8667,113.6333,73.65200000000007,61,0,12.37,AU,1730031935
184,kerikeri,-35.2268,173.9474,47.408,86,1,2.03,NZ,1730031937
185,parintins,-2.6283,-56.7358,88.07000000000006,44,100,3.18,BR,1730031938
186,nemuro,43.3236,145.575,55.20200000000008,90,100,8.95,JP,1730031939
187,chibougamau,49.9168,-74.3659,26.22200000000004,93,100,3.09,CA,1730031940
188,vilyuysk,63.7553,121.6247,-5.781999999999968,98,77,1.45,RU,1730031941
189,whitehorse,60.7161,-135.0538,25.57400000000001,92,100,3.6,CA,1730031942
190,tralee,52.2704,-9.7026,53.85200000000008,94,100,3.6,IE,1730031943
191,lake havasu city,34.4839,-114.3224,68.45,24,0,0.0,US,1730031944
192,princeville,45.7668,-61.2985,43.538000000000046,76,0,5.36,CA,1730031945
193,fort st. john,56.2499,-120.8529,28.291999999999994,93,75,2.57,CA,1730031946
194,saint croix,17.7397,-64.7388,84.95600000000003,74,0,2.57,VI,1730031948
195,hauterive,46.0901,3.4459,65.35400000000006,84,22,0.85,FR,1730031949
196,new norfolk,-42.7826,147.0587,53.708000000000006,74,87,4.11,AU,1730031950
197,mont-laurier,46.5501,-75.4993,30.938000000000045,74,39,3.89,CA,1730031951
198,pubal,37.2917,127.5078,58.44199999999999,76,100,2.38,KR,1730031952
199,el nido,11.1858,119.3956,82.32800000000006,77,100,5.52,PH,1730031953
200,ust'-uda,54.1742,103.0304,36.57200000000004,87,100,0.96,RU,1730031954
201,la ronge,55.1001,-105.2842,37.65200000000008,75,100,5.66,CA,1730031955
202,petropavlovsk-kamchatsky,53.0452,158.6483,30.794000000000075,55,75,5.0,RU,1730031957
203,okhotsk,59.3833,143.3,14.198000000000023,72,13,6.02,RU,1730031958
204,saint joseph,39.7686,-94.8466,43.25,66,28,3.28,US,1730031959
205,codrington,-38.2667,141.9667,54.62600000000009,76,100,5.84,AU,1730031960
206,greymouth,-42.4667,171.2,46.54400000000008,92,57,2.58,NZ,1730031961
207,xinyuan,37.3,99.0,27.23000000000004,38,48,2.35,CN,1730031962
208,grand falls-windsor,48.9332,-55.6649,44.51000000000008,91,98,0.45,CA,1730031963
209,konarka,19.9,86.1167,80.708,83,10,3.56,IN,1730031964
210,kodiak,57.79,-152.4072,38.714000000000034,65,0,2.67,US,1730031965
211,warka,51.7843,21.1909,60.188000000000045,52,100,2.57,PL,1730031966
212,puerto rosario,-24.45,-57.0833,72.30200000000008,40,98,2.53,PY,1730031967
213,amfissa,38.525,22.3731,75.07400000000001,22,40,1.77,GR,1730031969
214,as sulayyil,20.4607,45.5779,90.734,22,15,4.99,SA,1730031971
215,humaita,-7.5061,-63.0208,76.19000000000003,93,100,2.07,BR,1730031972
216,cangucu,-31.395,-52.6756,62.87000000000006,53,0,0.33,BR,1730031973
217,punta arenas,-53.15,-70.9167,48.30800000000001,66,20,12.86,CL,1730031974
218,tyup,42.7276,78.3648,49.56800000000008,54,77,0.33,KG,1730031975
219,mili,6.0815,171.735,83.60600000000002,72,89,2.97,MH,1730031976
220,whangarei,-35.7317,174.3239,49.208000000000006,80,5,1.71,NZ,1730031977
221,bamboo flat,11.7,92.7167,80.90600000000003,75,25,4.09,IN,1730031978
222,darlington,54.5243,-1.5504,53.492,67,40,5.66,GB,1730031979
223,balkanabat,39.5108,54.3671,57.97400000000001,44,67,5.18,TM,1730031981
224,tazovsky,67.4667,78.7,17.041999999999994,95,100,5.11,RU,1730031982
225,san antonio de pale,-1.4014,5.6325,77.95400000000005,84,77,6.09,GQ,1730031983
226,dongsheng,39.8161,109.9776,46.43600000000007,58,86,1.72,CN,1730031984
227,ritchie,-29.038,24.6028,65.96600000000001,26,100,12.88,ZA,1730031985
228,paita,-5.0892,-81.1144,63.28399999999999,87,32,5.39,PE,1730031986
229,mahanoro,-19.9,48.8,80.924,73,98,5.59,MG,1730031987
230,preobrazheniye,42.9019,133.9064,41.68399999999999,74,73,4.24,RU,1730031988
231,alta,69.9689,23.2717,42.06200000000005,65,0,4.12,NO,1730031989
232,mossel bay,-34.1831,22.146,67.92800000000007,43,66,8.54,ZA,1730031990
233,leshan,29.5623,103.7639,64.36400000000003,67,2,0.93,CN,1730031991
234,lebu,-37.6167,-73.65,52.12400000000001,79,12,7.45,CL,1730031994
235,kailua-kona,19.6406,-155.9956,76.96400000000003,89,20,6.17,US,1730031995
236,crane,31.3974,-102.3501,63.35600000000003,72,1,3.96,US,1730031996
237,rio grande,-32.035,-52.0986,62.11400000000003,61,0,2.54,BR,1730031891
238,zakynthos,37.7914,20.8953,72.71600000000001,56,20,2.06,GR,1730031998
239,marsa alam,25.0757,34.8918,81.55400000000006,49,0,7.21,EG,1730031999
240,brookings,44.3114,-96.7984,42.8,69,0,5.66,US,1730031858
241,smolensk,55.0,33.0,49.02800000000006,67,89,2.22,RU,1730032001
242,kodinsk,58.6881,99.1844,33.908,99,100,1.09,RU,1730032002
243,iskateley,67.6803,53.1512,33.62000000000006,87,32,3.47,RU,1730032004
244,broome,42.2506,-75.833,34.32200000000004,81,29,0.89,US,1730032005
245,yarmouth,41.7057,-70.2286,48.95600000000003,54,0,9.39,US,1730032006
246,san carlos,9.6612,-68.5827,79.19600000000005,78,6,0.76,VE,1730032007
247,papao,-17.75,-149.55,76.67600000000009,71,100,7.31,PF,1730032008
248,mungwi,-10.1732,31.3694,90.55400000000006,21,84,1.83,ZM,1730032009
249,nyurba,63.2842,118.3319,10.18399999999999,97,100,1.27,RU,1730032010
250,lospalos,-8.5186,127.0025,74.80400000000006,90,24,2.18,TL,1730032011
251,cozumel,20.5083,-86.9458,80.67200000000004,74,75,4.12,MX,1730032012
252,mil'kovo,55.6078,37.7956,49.51400000000003,69,100,1.18,RU,1730032013
253,deschutes river woods,43.9915,-121.3584,51.42200000000004,68,93,2.24,US,1730032015
254,tura,25.5198,90.2201,72.64400000000008,93,2,0.82,IN,1730032016
255,chom thong,18.4174,98.6743,78.458,86,55,1.94,TH,1730032017
256,bel ombre,-4.6167,55.4167,84.03800000000004,70,40,2.57,SC,1730032018
257,perelyub,51.8667,50.3667,43.070000000000064,65,94,5.92,RU,1730032019
258,huarmey,-10.0681,-78.1522,64.09400000000008,88,50,3.16,PE,1730032020
259,maintirano,-18.0667,44.0167,83.82200000000003,67,32,5.91,MG,1730032021
260,grande prairie,55.1667,-118.8027,32.18000000000004,86,100,2.06,CA,1730031975
261,katsuura,35.1333,140.3,73.50800000000001,78,100,6.22,JP,1730032023
262,molochnoye,59.2917,39.6787,45.59000000000002,71,26,1.72,RU,1730032024
263,velikiy ustyug,60.7644,46.3106,42.87200000000004,73,96,2.48,RU,1730032025
264,ingeniero guillermo n. juarez,-23.9,-61.85,73.74199999999999,30,26,3.47,AR,1730032028
265,portland,45.5234,-122.6762,53.81600000000001,95,100,2.24,US,1730031940
266,palembang,-2.9167,104.7458,91.49000000000002,58,40,0.0,ID,1730032030
267,tolanaro,-25.0319,46.9987,86.07200000000003,70,20,8.23,MG,1730032031
268,uyar,55.81,94.3153,38.55200000000008,98,100,2.08,RU,1730032032
269,benemerito de las americas,16.5167,-90.6439,71.15,100,100,0.7,MX,1730032033
270,riobamba,-1.6667,-78.6333,54.71600000000001,87,99,1.84,EC,1730032034
271,vorkuta,67.5,64.0,32.12600000000009,95,100,4.78,RU,1730032035
272,labrador city,52.9463,-66.9114,26.510000000000083,80,75,32.63,CA,1730032036
273,hachinohe,40.5,141.5,57.83000000000004,88,100,1.78,JP,1730032037
274,kingston,17.997,-76.7936,85.15400000000005,79,40,2.06,JM,1730032039
275,kaitong,44.8135,123.15,41.14400000000008,62,7,4.16,CN,1730032040
276,aki,33.5,133.9,71.54600000000005,88,33,1.76,JP,1730032041
277,taranto,40.6167,17.25,72.19400000000007,66,20,3.09,IT,1730032042
278,yoichi,43.2039,140.7703,53.78000000000005,83,100,2.3,JP,1730032043
279,darovskoy,58.77,47.9564,40.29800000000002,87,100,2.65,RU,1730032044
